x,y,z,Fx,Fy,Fz
-0.0333333333333,-0.035,0.0,-0.01596548282159978,-0.016663696470493455,1.2947207284258385e-18
-0.0316666666667,-0.035,0.0,-0.01540873403943,-0.016828550610377684,0.0
-0.03,-0.035,0.0,-0.014824530750609523,-0.016989474163508034,0.0
-0.0283333333333,-0.035,0.0,-0.014212348998484933,-0.017145941522736546,0.0
-0.0266666666667,-0.035,0.0,-0.013571807517170242,-0.01729741435253681,-6.473603642129193e-19
-0.025,-0.035,0.0,-0.012902690517588307,-0.01744334518925326,0.0
-0.0233333333333,-0.035,0.0,-0.012204970445657364,-0.017583181505185983,0.0
-0.0216666666667,-0.035,0.0,-0.011478830029934701,-0.017716370206205156,0.0
-0.02,-0.035,0.0,-0.010724682836169223,-0.017842362517192702,0.0
-0.0183333333333,-0.035,0.0,-0.009943191464904497,-0.01796061919425952,-1.2947207284258385e-18
-0.0166666666667,-0.035,0.0,-0.009135282480176993,-0.018070615987992287,-1.2947207284258385e-18
-0.015,-0.035,0.0,-0.00830215715026764,-0.01817184926800627,0.0
-0.0133333333333,-0.035,0.0,-0.007445297122905847,-0.018263841707282923,0.0
-0.0116666666667,-0.035,0.0,-0.00656646425617779,-0.01834614791568162,0.0
-0.01,-0.035,0.0,-0.005667693984585717,-0.01841835990576024,0.0
-0.00833333333333,-0.035,0.0,-0.0047512818143350625,-0.018480112271652978,-1.2947207284258385e-18
-0.00666666666667,-0.035,0.0,-0.0038197628069732807,-0.018531086963398082,-1.2947207284258385e-18
-0.005,-0.035,0.0,-0.0028758842130187333,-0.018571017544464923,0.0
-0.00333333333333,-0.035,0.0,-0.0019225717387274812,-0.01859969282983658,0.0
-0.00166666666667,-0.035,0.0,-0.0009628902485918035,-0.018616959815086313,0.0
4.33680868994e-19,-0.035,0.0,1.4744345987791696e-19,-0.018622725823228038,1.2947207284258385e-18
0.00166666666667,-0.035,0.0,0.0009628902485918036,-0.018616959815086313,0.0
0.00333333333333,-0.035,0.0,0.0019225717387274812,-0.01859969282983658,0.0
0.005,-0.035,0.0,0.0028758842130187333,-0.018571017544464923,0.0
0.00666666666667,-0.035,0.0,0.0038197628069732807,-0.018531086963398082,-1.2947207284258385e-18
0.00833333333333,-0.035,0.0,0.004751281814335065,-0.018480112271652978,-1.2947207284258385e-18
0.01,-0.035,0.0,0.005667693984585717,-0.01841835990576024,-1.2947207284258385e-18
0.0116666666667,-0.035,0.0,0.00656646425617779,-0.01834614791568162,0.0
0.0133333333333,-0.035,0.0,0.007445297122905847,-0.018263841707282923,0.0
0.015,-0.035,0.0,0.00830215715026764,-0.01817184926800627,-6.473603642129193e-19
0.0166666666667,-0.035,0.0,0.009135282480176992,-0.018070615987992287,0.0
0.0183333333333,-0.035,0.0,0.009943191464904494,-0.01796061919425952,-1.2947207284258385e-18
0.02,-0.035,0.0,0.010724682836169223,-0.017842362517192702,0.0
0.0216666666667,-0.035,0.0,0.011478830029934701,-0.017716370206205156,0.0
0.0233333333333,-0.035,0.0,0.012204970445657364,-0.017583181505185983,0.0
0.025,-0.035,0.0,0.012902690517588307,-0.01744334518925326,0.0
0.0266666666667,-0.035,0.0,0.013571807517170242,-0.01729741435253681,-6.473603642129193e-19
0.0283333333333,-0.035,0.0,0.014212348998484933,-0.017145941522736546,0.0
0.03,-0.035,0.0,0.014824530750609523,-0.016989474163508034,0.0
0.0316666666667,-0.035,0.0,0.015408734039430001,-0.01682855061037768,0.0
0.0333333333333,-0.035,0.0,0.01596548282159978,-0.016663696470493455,1.2947207284258385e-18
0.035,-0.035,0.0,0.016495421502393227,-0.01649542150239323,0.0
0.0366666666667,-0.035,0.0,0.016999293691548442,-0.016324216978892664,0.0
0.0383333333333,-0.035,0.0,0.017477922300471422,-0.016150553524412577,2.589441456851677e-18
0.04,-0.035,0.0,0.017932191222277537,-0.015974879408631005,0.0
0.0416666666667,-0.035,0.0,0.009076674756562023,-0.015797619270560236,1.2947207284258385e-18
-0.0416666666667,-0.0333333333333,0.0,-0.009158374667288402,-0.015268489054774735,0.0
-0.04,-0.0333333333333,0.0,-0.018096564804402995,-0.015445248271857372,0.0
